commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
0.2,2018-01-02 15:00:00,846.99,2018-01-04 03:00:00,923.0,17.74826385199353,0,400,2
0.2,2018-01-16 04:00:00,1301.94,2018-01-16 09:00:00,1239.97,9.319639921962615,0,400,-2
0.2,2018-01-30 09:00:00,1172.97,2018-01-31 00:00:00,1112.5,10.110579128195951,0,400,-2
0.2,2018-03-16 19:00:00,597.38,2018-03-17 00:00:00,622.0,-8.442659613646256,0,400,-2
0.2,2018-03-17 14:00:00,596.62,2018-03-18 01:00:00,572.93,7.741403238242116,0,400,-2
0.2,2018-03-19 10:00:00,534.9,2018-03-20 08:00:00,556.88,8.018358571695652,0,400,2
0.2,2018-03-29 05:00:00,446.44,2018-03-29 13:00:00,420.8,11.286425947495738,0,400,-2
0.2,2018-04-01 13:00:00,393.31,2018-04-01 16:00:00,377.28,7.951331011161694,0,400,-2
0.2,2018-04-24 15:00:00,676.65,2018-04-25 02:00:00,709.54,9.52142170989433,0,400,2
0.2,2018-05-03 17:00:00,717.46,2018-05-03 22:00:00,757.0,10.822217266467808,0,400,2
0.2,2018-05-27 14:00:00,581.11,2018-05-28 13:00:00,556.0,8.442081533616705,0,400,-2
0.2,2018-06-08 04:00:00,606.52,2018-06-10 09:00:00,570.83,11.568779265316872,0,400,-2
0.2,2018-06-16 09:00:00,487.71,2018-06-17 11:00:00,502.83,-6.400405978962911,0,400,-2
0.2,2018-06-28 13:00:00,432.09,2018-06-29 13:00:00,415.72,7.37712513596702,0,400,-2
0.2,2018-06-30 14:00:00,451.06,2018-07-02 03:00:00,448.59,-1.2951979780960525,0,400,2
0.2,2018-07-02 03:00:00,448.59,2018-07-02 22:00:00,471.64,-10.47664459751667,0,400,-2
0.2,2018-07-12 23:00:00,429.28,2018-07-15 19:00:00,444.46,-7.2723071188967605,0,400,-2
0.2,2018-07-17 04:00:00,478.22,2018-07-18 02:00:00,496.59,7.482656517920599,0,400,2
0.2,2018-07-18 07:00:00,499.77,2018-07-19 04:00:00,483.72,-6.622954559097168,0,400,2
0.2,2018-07-24 21:00:00,472.21,2018-07-27 23:00:00,457.15,-6.5785180322314245,0,400,2
0.2,2018-07-29 05:00:00,464.16,2018-07-31 17:00:00,446.1,7.581799379524303,0,400,-2
0.2,2018-08-13 09:00:00,319.08,2018-08-14 00:00:00,300.4,11.508662404412691,0,400,-2
0.2,2018-09-07 17:00:00,223.94,2018-09-08 08:00:00,215.19,7.614593194605698,0,400,-2
0.2,2018-09-08 13:00:00,216.39,2018-09-09 02:00:00,200.8,14.209168630713044,0,400,-2
0.2,2018-09-10 23:00:00,195.55,2018-09-11 23:00:00,184.28,11.326463819994897,0,400,-2
0.2,2018-09-14 03:00:00,205.71,2018-09-14 10:00:00,213.5,7.373768897963144,0,400,2
0.2,2018-09-23 10:00:00,238.13,2018-09-23 18:00:00,247.08,-7.716902532230309,0,400,-2
