commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
1.0,2018-01-05 10:00:00,15038.04,2018-01-05 11:00:00,15098.12,-4.995201502323436,0,2000,-10
1.0,2018-01-05 11:00:00,15098.12,2018-01-05 12:28:00,14850.0,-17.433834146238127,0,2000,10
1.0,2018-01-05 13:00:00,14820.05,2018-01-05 17:04:00,15700.0,58.375643132108245,0,2000,10
1.0,2018-01-05 18:00:00,15873.5,2018-01-06 01:35:00,16818.14,58.51050492959962,0,2000,10
1.0,2018-01-06 02:00:00,16650.0,2018-01-06 20:26:00,16312.58,-21.265465465465468,0,2000,10
1.0,2018-01-06 21:00:00,16214.92,2018-01-07 06:00:00,16790.99,34.52715647070732,0,2000,10
1.0,2018-01-07 06:00:00,16790.99,2018-01-07 07:48:00,17106.0,-19.760656756986833,0,2000,-10
1.0,2018-01-07 08:00:00,17069.79,2018-01-07 10:44:00,16722.01,-21.374005772771806,0,2000,10
1.0,2018-01-07 11:00:00,16742.94,2018-01-07 21:34:00,16419.99,-20.288727069439243,0,2000,10
1.0,2018-01-07 23:00:00,16520.02,2018-01-08 13:04:00,15522.0,59.41275979084774,0,2000,-10
1.0,2018-01-08 21:00:00,15348.52,2018-01-08 22:09:00,14315.05,66.33352792321352,0,2000,-10
1.0,2018-01-09 02:00:00,14739.8,2018-01-09 02:28:00,15083.17,-24.29543141697993,0,2000,-10
1.0,2018-01-09 03:00:00,14900.0,2018-01-09 03:58:00,15215.55,-22.17785234899324,0,2000,-10
1.0,2018-01-09 04:00:00,15196.56,2018-01-09 18:46:00,14244.0,61.68260711634734,0,2000,-10
1.0,2018-01-09 20:00:00,14726.0,2018-01-09 20:41:00,14420.0,-21.779573543392637,0,2000,10
1.0,2018-01-10 00:00:00,14655.01,2018-01-10 01:00:00,14968.0,20.35720139392602,0,2000,10
1.0,2018-01-10 01:00:00,14968.0,2018-01-10 08:20:00,14052.0,60.19722073757349,0,2000,-10
1.0,2018-01-10 11:00:00,14211.0,2018-01-10 16:19:00,13261.18,65.83695728660895,0,2000,-10
1.0,2018-01-10 20:00:00,13919.09,2018-01-10 23:42:00,14177.0,-19.529228563074156,0,2000,-10
1.0,2018-01-11 03:00:00,14548.32,2018-01-11 07:52:00,14846.5,-21.495837320047972,0,2000,-10
1.0,2018-01-11 08:00:00,14940.0,2018-01-11 11:04:00,14045.1,58.89959839357427,0,2000,-10
1.0,2018-01-11 13:00:00,13117.99,2018-01-11 13:50:00,12850.0,-21.429196851041947,0,2000,10
1.0,2018-01-11 15:00:00,13228.66,2018-01-11 19:00:00,13254.31,0.938971898892226,0,2000,10
1.0,2018-01-11 19:00:00,13254.31,2018-01-11 20:10:00,13556.83,-23.824273764533984,0,2000,-10
1.0,2018-01-11 22:00:00,13754.95,2018-01-11 22:59:00,14050.0,-22.450459652706787,0,2000,-10
1.0,2018-01-11 23:00:00,14070.07,2018-01-12 04:18:00,13210.0,60.127627652172286,0,2000,-10
1.0,2018-01-12 06:00:00,13379.51,2018-01-12 07:15:00,12523.87,62.95151989871074,0,2000,-10
1.0,2018-01-12 09:00:00,12964.89,2018-01-12 11:38:00,13759.0,60.250808915463274,0,2000,10
1.0,2018-01-12 13:00:00,13760.01,2018-01-12 13:17:00,13472.84,-21.86989762362092,0,2000,10
1.0,2018-01-12 17:00:00,13630.07,2018-01-12 18:20:00,13900.33,-20.828218050237467,0,2000,-10
1.0,2018-01-12 19:00:00,13940.0,2018-01-13 01:00:00,13370.0,39.88952654232425,0,2000,-10
1.0,2018-01-13 01:00:00,13370.0,2018-01-13 09:00:00,14033.36,48.6155572176515,0,2000,10
1.0,2018-01-13 09:00:00,14033.36,2018-01-13 10:00:00,14184.97,-11.803542416071329,0,2000,-10
1.0,2018-01-13 10:00:00,14184.97,2018-01-13 11:14:00,13889.06,-21.86081253608572,0,2000,10
1.0,2018-01-13 14:00:00,14148.81,2018-01-13 21:29:00,14435.0,-21.227142777378486,0,2000,-10
1.0,2018-01-13 22:00:00,14520.0,2018-01-13 23:07:00,14180.02,-24.414600550964156,0,2000,10
1.0,2018-01-14 00:00:00,14257.84,2018-01-14 03:35:00,13932.71,-23.803594373341333,0,2000,10
1.0,2018-01-14 14:00:00,13762.88,2018-01-14 17:00:00,13623.0,-11.163570415494373,0,2000,10
1.0,2018-01-14 17:00:00,13623.0,2018-01-14 20:13:00,12799.0,59.48594289069955,0,2000,-10
1.0,2018-01-15 00:00:00,12869.82,2018-01-15 01:07:00,13139.83,-21.980091407649855,0,2000,-10
1.0,2018-01-15 02:00:00,13280.22,2018-01-15 07:09:00,13540.02,-20.562928927382313,0,2000,-10
1.0,2018-01-15 08:00:00,13477.98,2018-01-15 17:00:00,13381.1,6.188020756819584,0,2000,-10
1.0,2018-01-15 17:00:00,13381.1,2018-01-15 20:59:00,14180.0,58.70361181068819,0,2000,10
1.0,2018-01-15 21:00:00,14190.03,2018-01-16 00:04:00,13872.49,-23.37768348622243,0,2000,10
1.0,2018-01-16 01:00:00,14041.42,2018-01-16 03:13:00,13754.99,-21.398934010947634,0,2000,10
1.0,2018-01-16 09:00:00,13143.97,2018-01-16 09:32:00,12800.0,-27.169414568049028,0,2000,10
1.0,2018-01-16 10:00:00,12973.76,2018-01-16 10:21:00,12644.7,-26.363502947487817,0,2000,10
1.0,2018-01-16 11:00:00,13170.0,2018-01-16 11:25:00,12889.99,-22.261199696279437,0,2000,10
1.0,2018-01-16 12:00:00,12829.98,2018-01-16 14:00:00,13055.0,16.538608789725348,0,2000,10
1.0,2018-01-16 14:00:00,13055.0,2018-01-16 16:04:00,12254.12,60.34661049406351,0,2000,-10
1.0,2018-01-16 21:00:00,11760.01,2018-01-16 23:58:00,12049.93,-25.65304026102019,0,2000,-10
1.0,2018-01-17 00:00:00,11963.9,2018-01-17 01:22:00,11236.0,59.84136443801768,0,2000,-10
1.0,2018-01-17 02:00:00,10898.21,2018-01-17 03:04:00,11176.82,-26.564748706439,0,2000,-10
1.0,2018-01-17 05:00:00,10680.27,2018-01-17 05:07:00,10885.88,-20.251385966834057,0,2000,-10
1.0,2018-01-17 06:00:00,10040.0,2018-01-17 06:19:00,9410.0,61.74900398406375,0,2000,-10
1.0,2018-01-17 10:00:00,10670.63,2018-01-17 10:24:00,10949.0,-27.08749436537494,0,2000,-10
1.0,2018-01-17 11:00:00,10490.0,2018-01-17 11:23:00,9801.0,64.68160152526215,0,2000,-10
1.0,2018-01-17 12:00:00,10415.99,2018-01-17 12:41:00,10602.01,-18.85908012584502,0,2000,-10
1.0,2018-01-17 15:00:00,10785.56,2018-01-17 17:48:00,10101.01,62.469119823170914,0,2000,-10
1.0,2018-01-17 19:00:00,9709.95,2018-01-17 19:05:00,9900.13,-20.58609467607953,0,2000,-10
1.0,2018-01-17 21:00:00,10030.01,2018-01-17 22:27:00,9429.97,58.82446677520768,0,2000,-10
1.0,2018-01-17 23:00:00,9160.03,2018-01-17 23:07:00,9360.0,-22.830714528227457,0,2000,-10
1.0,2018-01-18 03:00:00,9651.0,2018-01-18 03:06:00,9850.06,-21.62584188167024,0,2000,-10
