commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
1.0,2018-06-01 18:00:00,12.12,2018-06-01 19:00:00,12.1706,3.174917491749265,0,2000,10
1.0,2018-06-01 19:00:00,12.1706,2018-06-02 11:31:00,12.4303,-22.338307067852075,0,2000,-10
1.0,2018-06-02 12:00:00,12.3296,2018-06-02 14:00:00,12.4586,-11.462626524785989,0,2000,-10
1.0,2018-06-02 14:00:00,12.4586,2018-06-02 16:23:00,13.25,62.52238614290526,0,2000,10
1.0,2018-06-02 17:00:00,13.4002,2018-06-02 18:20:00,14.2322,61.0886255429024,0,2000,10
1.0,2018-06-02 19:00:00,14.4223,2018-06-02 19:37:00,14.1029,-23.146259611851086,0,2000,10
1.0,2018-06-02 20:00:00,13.9613,2018-06-03 00:36:00,14.7978,58.915623903218254,0,2000,10
1.0,2018-06-03 01:00:00,14.7901,2018-06-03 04:59:00,14.4001,-27.368990067680446,0,2000,10
1.0,2018-06-03 06:00:00,14.401,2018-06-03 06:03:00,14.0792,-23.345670439552784,0,2000,10
1.0,2018-06-03 07:00:00,14.5987,2018-06-03 12:15:00,14.2737,-23.26225622829425,0,2000,10
1.0,2018-06-03 20:00:00,14.737,2018-06-03 20:39:00,15.05,-22.239058152948402,0,2000,-10
1.0,2018-06-03 21:00:00,14.979,2018-06-03 21:30:00,15.2758,-20.81440683623747,0,2000,-10
1.0,2018-06-04 03:00:00,14.4609,2018-06-04 11:00:00,14.2819,-13.378206059097307,0,2000,10
1.0,2018-06-04 11:00:00,14.2819,2018-06-04 11:17:00,14.5567,-20.241137383681377,0,2000,-10
1.0,2018-06-04 12:00:00,14.4636,2018-06-04 19:42:00,13.5408,62.80154318426939,0,2000,-10
1.0,2018-06-04 20:00:00,13.5013,2018-06-05 06:01:00,13.769,-20.827720293601327,0,2000,-10
1.0,2018-06-05 08:00:00,13.4619,2018-06-05 16:18:00,13.766,-23.589679020049182,0,2000,-10
1.0,2018-06-05 17:00:00,13.9315,2018-06-06 01:41:00,14.2222,-21.866381940207518,0,2000,-10
1.0,2018-06-06 07:00:00,14.1317,2018-06-06 13:09:00,13.8411,-21.563697219725828,0,2000,10
1.0,2018-06-06 20:00:00,14.0198,2018-06-06 21:00:00,14.1755,10.105721907587803,0,2000,10
1.0,2018-06-06 21:00:00,14.1755,2018-06-07 20:00:00,13.7665,27.852597791964936,0,2000,-10
1.0,2018-06-07 20:00:00,13.7665,2018-06-08 05:00:00,14.2105,31.252206443177215,0,2000,10
1.0,2018-06-08 05:00:00,14.2105,2018-06-08 06:00:00,14.3131,-8.22001337039518,0,2000,-10
1.0,2018-06-08 06:00:00,14.3131,2018-06-08 11:57:00,13.9998,-22.889038712787578,0,2000,10
1.0,2018-06-08 13:00:00,13.8288,2018-06-08 21:00:00,13.7974,-3.270623626055743,0,2000,10
1.0,2018-06-08 21:00:00,13.7974,2018-06-09 00:05:00,14.18,-28.72986214794092,0,2000,-10
1.0,2018-06-09 01:00:00,14.11,2018-06-09 09:00:00,14.1348,-2.7576187101347145,0,2000,-10
1.0,2018-06-09 09:00:00,14.1348,2018-06-09 10:06:00,15.0001,60.21770382318813,0,2000,10
1.0,2018-06-09 11:00:00,14.7194,2018-06-09 20:53:00,14.4305,-20.627158715708514,0,2000,10
1.0,2018-06-09 22:00:00,14.3348,2018-06-10 06:00:00,14.4646,8.054887406870083,0,2000,10
1.0,2018-06-10 06:00:00,14.4646,2018-06-10 10:44:00,13.5977,58.932524922915334,0,2000,-10
1.0,2018-06-11 01:00:00,12.9494,2018-06-11 01:49:00,12.1635,59.690070582420795,0,2000,-10
1.0,2018-06-11 05:00:00,11.74,2018-06-11 06:59:00,11.0212,60.22657580919931,0,2000,-10
1.0,2018-06-11 11:00:00,11.5498,2018-06-11 23:29:00,10.8461,59.92746194739299,0,2000,-10
1.0,2018-06-12 00:00:00,10.7669,2018-06-12 00:03:00,11.0215,-24.646546359676414,0,2000,-10
1.0,2018-06-12 02:00:00,11.0656,2018-06-12 05:37:00,11.2801,-20.384398496240536,0,2000,-10
1.0,2018-06-12 06:00:00,11.3,2018-06-12 06:29:00,11.54,-22.238938053097208,0,2000,-10
1.0,2018-06-12 10:00:00,11.569,2018-06-12 16:00:00,11.4086,12.864638257412135,0,2000,-10
1.0,2018-06-12 16:00:00,11.4086,2018-06-12 20:06:00,11.1934,-19.862963027891187,0,2000,10
