commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
0.018,2018-06-02 13:30:00,12.4257,2018-06-03 00:41:00,14.85,57.31310891136914,1.2,600,1
0.036,2018-06-02 15:26:00,12.6847,2018-06-03 00:41:00,14.85,99.98502690643059,2.4,1200,2
0.05399999999999999,2018-06-02 16:20:00,12.9766,2018-06-03 00:41:00,14.85,126.27679851424875,3.5999999999999996,1800,3
0.0,2018-06-02 16:23:00,13.25,2018-06-07 15:30:00,13.8749,0.0,0.0,0,0
0.018,2018-06-07 15:30:00,13.8749,2018-06-07 16:00:00,13.9393,-2.6104424680538045,1.2,600,-1
0.018,2018-06-07 16:00:00,13.9393,2018-06-07 16:10:00,13.8901,-2.2768767011255733,1.2,600,1
0.018,2018-06-07 17:00:00,13.7889,2018-06-08 00:46:00,14.1503,-9.080846202380169,1.2,600,-1
0.018,2018-06-09 09:00:00,14.1348,2018-06-09 21:10:00,14.2116,0.41201952627558436,1.2,600,1
0.036,2018-06-09 09:47:00,14.428,2018-06-09 21:10:00,14.2116,-11.435168283892438,2.4,1200,2
0.05399999999999999,2018-06-09 09:58:00,14.7792,2018-06-09 21:10:00,14.2116,-38.21879376420909,3.5999999999999996,1800,3
0.018,2018-06-21 07:30:00,10.4056,2018-06-21 10:36:00,10.78,-12.012187745060341,1.2,600,-1
0.018,2018-06-22 00:00:00,10.4286,2018-06-22 21:29:00,8.55,52.82376974857599,1.2,600,-1
0.036,2018-06-22 09:43:00,10.22,2018-06-22 21:29:00,8.55,95.60705283757338,2.4,1200,-2
0.05399999999999999,2018-06-22 14:30:00,9.9736,2018-06-22 21:29:00,8.55,124.80914269671925,3.5999999999999996,1800,-3
0.0,2018-06-22 15:01:00,9.77,2018-07-02 05:00:00,8.0701,-0.0,0.0,0,0
0.018,2018-07-02 01:30:00,7.9594,2018-07-02 05:00:00,8.0701,-5.390425057165131,1.2,600,-1
0.018,2018-07-02 05:00:00,8.0701,2018-07-02 08:41:00,8.0294,-2.730992404059403,1.2,600,1
0.018,2018-07-02 13:00:00,7.9434,2018-07-02 21:27:00,8.2,-10.909064279779429,1.2,600,-1
0.018,2018-07-05 11:00:00,8.9958,2018-07-05 17:00:00,9.0434,-2.805407456813212,1.2,600,-1
0.018,2018-07-05 17:00:00,9.0434,2018-07-05 17:02:00,9.0243,-1.8516112524050654,1.2,600,1
0.018,2018-07-05 18:00:00,9.0498,2018-07-05 18:01:00,9.0163,-2.3285217794868425,1.2,600,1
0.018,2018-07-05 19:00:00,9.1116,2018-07-05 19:41:00,9.0086,-4.6092814434347344,1.2,600,1
0.018,2018-07-05 20:00:00,8.9731,2018-07-06 20:08:00,8.6909,8.216866434119803,1.2,600,-1
0.036,2018-07-05 23:20:00,8.784,2018-07-06 20:08:00,8.6909,3.9232896174864424,2.4,1200,-2
0.05399999999999999,2018-07-06 14:18:00,8.58,2018-07-06 20:08:00,8.6909,-15.28686713286704,3.5999999999999996,1800,-3
0.0,2018-07-06 14:50:00,8.3899,2018-07-15 16:00:00,6.9885,-0.0,0.0,0,0
0.018,2018-07-15 16:00:00,6.9885,2018-07-18 01:41:00,8.3704,58.10374286327537,1.2,600,1
0.036,2018-07-15 18:42:00,7.1464,2018-07-18 01:41:00,8.3704,100.32902854584127,2.4,1200,2
0.05399999999999999,2018-07-15 23:26:00,7.292,2018-07-18 01:41:00,8.3704,129.44528688974222,3.5999999999999996,1800,3
0.0,2018-07-15 23:32:00,7.45,2018-07-23 17:30:00,8.0834,0.0,0.0,0,0
0.018,2018-07-23 14:30:00,8.3348,2018-07-23 17:30:00,8.0834,-10.266807409895868,1.2,600,1
0.018,2018-07-24 00:30:00,7.9611,2018-07-24 14:00:00,8.0428,-4.296720277348594,1.2,600,-1
0.036,2018-07-24 11:49:00,7.8075,2018-07-24 14:00:00,8.0428,-20.5186128722382,2.4,1200,-2
0.018,2018-07-26 17:30:00,8.7901,2018-07-26 19:17:00,8.6021,-7.63430925700506,1.2,600,1
0.018,2018-07-27 05:00:00,8.48,2018-07-27 23:13:00,8.3209,4.410537735849072,1.2,600,-1
0.036,2018-07-27 05:34:00,8.3073,2018-07-27 23:13:00,8.3209,-3.41826860712869,2.4,1200,-2
0.05399999999999999,2018-07-27 09:45:00,8.13,2018-07-27 23:13:00,8.3209,-24.78684132841319,3.5999999999999996,1800,-3
0.018,2018-07-28 20:30:00,8.3231,2018-07-31 03:51:00,7.7023,21.158278069469308,1.2,600,-1
0.036,2018-07-28 22:33:00,8.1546,2018-07-31 03:51:00,7.7023,30.84337605768524,2.4,1200,-2
0.05399999999999999,2018-07-30 23:47:00,7.9685,2018-07-31 03:51:00,7.7023,26.411884419903323,3.5999999999999996,1800,-3
0.0,2018-07-31 00:12:00,7.8039,2018-08-03 01:02:00,7.1579,-0.0,0.0,0,0
0.018,2018-08-02 17:00:00,7.0263,2018-08-03 01:02:00,7.1579,-6.836889031211294,1.2,600,-1
0.018,2018-08-06 08:30:00,7.0732,2018-08-06 15:47:00,7.0139,-3.7331275236102615,1.2,600,1
0.018,2018-08-06 19:30:00,6.9569,2018-08-07 15:30:00,7.0567,-5.5216409895212,1.2,600,-1
0.018,2018-08-07 15:30:00,7.0567,2018-08-08 03:40:00,7.0326,-2.242558221264888,1.2,600,1
0.018,2018-08-08 05:00:00,6.6172,2018-08-08 14:22:00,6.0673,23.71248419270991,1.2,600,-1
0.036,2018-08-08 08:07:00,6.4765,2018-08-08 14:22:00,6.0673,35.47336462595532,2.4,1200,-2
0.05399999999999999,2018-08-08 11:57:00,6.3312,2018-08-08 14:22:00,6.0673,33.860215314632235,3.5999999999999996,1800,-3
0.0,2018-08-08 12:06:00,6.1891,2018-08-10 20:17:00,5.6332,-0.0,0.0,0,0
0.018,2018-08-10 16:30:00,5.4816,2018-08-10 20:17:00,5.6332,-9.514847635726804,1.2,600,-1
0.018,2018-08-13 02:00:00,4.9884,2018-08-13 16:22:00,5.0997,-7.911528987250418,1.2,600,-1
0.018,2018-08-14 01:30:00,4.7084,2018-08-14 10:23:00,4.3207,23.484659077393577,1.2,600,-1
0.036,2018-08-14 02:11:00,4.61,2018-08-14 10:23:00,4.3207,35.216928416485885,2.4,1200,-2
0.05399999999999999,2018-08-14 06:13:00,4.5176,2018-08-14 10:23:00,4.3207,35.572580485213265,3.5999999999999996,1800,-3
0.0,2018-08-14 08:33:00,4.4031,2018-08-17 09:06:00,4.6171,0.0,0.0,0,0
0.018,2018-08-17 04:30:00,4.6588,2018-08-17 09:06:00,4.6171,1.4672408345497023,1.2,600,-1
0.036,2018-08-17 05:01:00,4.5298,2018-08-17 09:06:00,4.6171,-13.999424433749827,2.4,1200,-2
0.018,2018-08-17 15:30:00,4.9314,2018-08-18 23:02:00,5.0262,4.549124954374024,1.2,600,1
0.036,2018-08-18 00:37:00,5.0783,2018-08-18 23:02:00,5.0262,-8.59160325305705,2.4,1200,2
0.05399999999999999,2018-08-18 00:52:00,5.184,2018-08-18 23:02:00,5.0262,-31.049833333333318,3.5999999999999996,1800,3
0.0,2018-08-18 01:03:00,5.2938,2018-08-26 12:00:00,4.8712,-0.0,0.0,0,0
0.018,2018-08-26 12:00:00,4.8712,2018-08-27 12:17:00,5.0142,-10.024864838232865,1.2,600,-1
0.018,2018-09-04 07:30:00,6.4721,2018-09-04 09:30:00,6.497,-2.3721848858948267,1.2,600,-1
0.018,2018-09-04 09:30:00,6.497,2018-09-04 09:31:00,6.4967,-1.2318525473295454,1.2,600,1
0.018,2018-09-04 12:00:00,6.4453,2018-09-04 20:04:00,6.6277,-9.707907374365833,1.2,600,-1
0.018,2018-09-04 22:30:00,6.6164,2018-09-05 02:45:00,6.4934,-6.79505096427057,1.2,600,1
0.018,2018-09-05 11:30:00,6.4839,2018-09-06 03:29:00,5.336,51.893553231851186,1.2,600,-1
0.036,2018-09-05 17:54:00,6.35,2018-09-06 03:29:00,5.336,93.37502362204718,2.4,1200,-2
0.05399999999999999,2018-09-05 17:57:00,6.213,2018-09-06 03:29:00,5.336,123.38607725736358,3.5999999999999996,1800,-3
0.0,2018-09-05 18:05:00,6.06,2018-09-09 17:30:00,4.8269,-0.0,0.0,0,0
0.018,2018-09-08 19:30:00,5.0845,2018-09-09 17:30:00,4.8269,13.981134624840202,1.2,600,-1
0.036,2018-09-09 01:46:00,4.971,2018-09-09 17:30:00,4.8269,14.956878696439334,2.4,1200,-2
0.05399999999999999,2018-09-09 01:49:00,4.779,2018-09-09 17:30:00,4.8269,-12.674715630885174,3.5999999999999996,1800,-3
0.0,2018-09-09 03:47:00,4.6753,2018-09-12 05:58:00,4.9292,0.0,0.0,0,0
0.018,2018-09-11 15:00:00,5.0289,2018-09-12 05:58:00,4.9292,4.729622740559587,1.2,600,-1
0.036,2018-09-11 19:18:00,4.918,2018-09-12 05:58:00,4.9292,-3.8024091093940204,2.4,1200,-2
0.05399999999999999,2018-09-11 22:58:00,4.82,2018-09-12 05:58:00,4.9292,-24.044041493775843,3.5999999999999996,1800,-3
0.0,2018-09-11 22:59:00,4.7222,2018-09-17 03:30:00,5.4047,0.0,0.0,0,0
0.018,2018-09-17 03:30:00,5.4047,2018-09-17 12:29:00,5.3783,-2.6833912335559655,1.2,600,1
0.018,2018-09-17 17:30:00,5.3492,2018-09-18 06:47:00,4.8709,25.606571898601658,1.2,600,-1
0.036,2018-09-17 22:16:00,5.1938,2018-09-18 06:47:00,4.8709,34.866167969502165,2.4,1200,-2
0.05399999999999999,2018-09-17 23:03:00,5.0608,2018-09-18 06:47:00,4.8709,30.117340499525874,3.5999999999999996,1800,-3
0.0,2018-09-17 23:40:00,4.9368,2018-09-24 09:30:00,5.9956,0.0,0.0,0,0
0.018,2018-09-24 05:00:00,5.9583,2018-09-24 09:30:00,5.9956,-3.0960524646291336,1.2,600,-1
0.018,2018-09-24 09:30:00,5.9956,2018-09-24 12:15:00,5.963,-2.8491962105543824,1.2,600,1
0.018,2018-09-24 13:00:00,5.9406,2018-09-26 02:24:00,5.2679,32.75331602868396,1.2,600,-1
0.036,2018-09-24 14:41:00,5.8111,2018-09-26 02:24:00,5.2679,53.64976689439173,2.4,1200,-2
0.05399999999999999,2018-09-24 17:02:00,5.6795,2018-09-26 02:24:00,5.2679,61.57005141297649,3.5999999999999996,1800,-3
0.0,2018-09-25 08:17:00,5.5529,2018-09-30 18:00:00,5.74,0.0,0.0,0,0
0.018,2018-09-30 18:00:00,5.74,2018-10-01 03:52:00,5.7262,-1.9392543554006871,1.2,600,1
0.036,2018-09-30 18:32:00,5.8763,2018-10-01 03:52:00,5.7262,-17.76197042356577,2.4,1200,2
0.018,2018-10-01 17:30:00,5.6625,2018-10-02 04:17:00,5.7365,-5.138529801324542,1.2,600,-1
0.036,2018-10-01 22:07:00,5.5309,2018-10-02 04:17:00,5.7365,-24.73978419425415,2.4,1200,-2
0.018,2018-10-02 16:30:00,5.69,2018-10-04 07:31:00,5.6708,-0.2056977152899535,1.2,600,-1
0.036,2018-10-03 00:36:00,5.565,2018-10-04 07:31:00,5.6708,-13.843008086253308,2.4,1200,-2
0.018,2018-10-06 21:00:00,5.7139,2018-10-07 13:30:00,5.7652,-3.9114318066469664,1.2,600,-1
0.018,2018-10-07 13:30:00,5.7652,2018-10-07 13:50:00,5.7601,-1.4833854159439217,1.2,600,1
0.018,2018-10-07 15:00:00,5.742,2018-10-08 20:10:00,5.85,-6.860633228840107,1.2,600,-1
0.018,2018-10-10 11:00:00,5.8914,2018-10-10 23:59:00,5.88,-0.6374928200427703,1.2,600,-1
